OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
5595733691,165595733691,Utbildningsgruppen Halmstad AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-30,,Normalläge,Är verksam,Annan övrig utbildning,85599,Halmstad,Halland,Halmstad,ÅRNARP VÅRHEM 504,305 94,HALMSTAD,info@restaurangbavaria.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595736231,165595736231,LER-A keramikstudio AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Annan övrig utbildning,85599,Norrköping,Östergötland,Norrköping,ST PERSGATAN 150 B,602 30,NORRKÖPING,hej@ler-a.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595737817,165595737817,Myhrman Medical AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-30,,Normalläge,Är verksam,Annan övrig utbildning,85599,Malmö,Skåne,Malmö/Lund/Trelleborg,NILS PERSSONS PLAN 7,217 48,MALMÖ,august.myhrman@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595739078,165595739078,EQkraft AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-07,,Normalläge,Är verksam,Annan övrig utbildning,85599,Leksand,Dalarna,Borlänge/Falun,VILLAVÄGEN 9,793 40,INSJÖN,susanne.leuschner.nu@gmail.com,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595739185,165595739185,Anna Cronqvist AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-30,,Normalläge,Är verksam,Annan övrig utbildning,85599,Nacka,Stockholm,Stockholm/Södertälje,REGINAVÄGEN 13,131 50,SALTSJÖ-DUVNÄS,anna@peakstate.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595740753,165595740753,Tyre Tech Nordic AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-23,,Normalläge,Är verksam,Annan övrig utbildning,85599,Knivsta,Uppsala,Uppsala,FORSBYVÄGEN 1,741 40,KNIVSTA,andersx68@hotmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595742726,165595742726,HeLi Konst och Form AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Annan övrig utbildning,85599,Uppsala,Uppsala,Uppsala,BIRKAGATAN 20 B,752 39,UPPSALA,info@hennylinn.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595743245,165595743245,Boom In Bloom AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-30,,Normalläge,Är verksam,Annan övrig utbildning,85599,Vetlanda,Jönköping,Eksjö/Nässjö/Vetlanda,STUDIEVÄGEN 10,574 53,HOLSBYBRUNN,jessica@boominbloom.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595743971,165595743971,Sheepfold AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Annan övrig utbildning,85599,Söderköping,Östergötland,Norrköping,MARIEHOV TRÄDGÅRDSVILLAN 1,614 92,SÖDERKÖPING,daytona_music@outlook.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595744391,165595744391,NPF-guiden Sverige AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Annan övrig utbildning,85599,Lund,Skåne,Malmö/Lund/Trelleborg,SIGILLGATAN 5,224 80,LUND,info@npfguiden.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
