OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
5595733824,165595733824,IVAB BYGG & Renovering AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-02,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Sollentuna,Stockholm,Stockholm/Södertälje,LOMVÄGEN 54,192 54,SOLLENTUNA,ivabbyggab@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595735571,165595735571,PS Konsult AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-02,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Tyresö,Stockholm,Stockholm/Södertälje,KUMLA ALLÉ 37,135 53,TYRESÖ,pontus.strand@telia.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595736140,165595736140,Fermont Scandinavia AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-02,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Botkyrka,Stockholm,Stockholm/Södertälje,MÅNSTORPSVÄGEN 12  LGH 1201,146 45,TULLINGE,bojan10kun@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595736504,165595736504,Stråvalla Stugan AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-16,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Varberg,Halland,Falkenberg/Varberg,GRÖNINGAGÅRDSVÄGEN 30,432 47,VARBERG,glennweriksson@outlook.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595736751,165595736751,Tallheda bygg AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-07,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Huddinge,Stockholm,Stockholm/Södertälje,KATRINEBERGSVÄGEN 34 B,141 59,HUDDINGE,tallhedabygg@hotmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595738435,165595738435,MBT Byggresurs AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-07,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Göteborg,Västra Götaland,Göteborg,HILDEDALSGATAN 136 B,417 05,GÖTEBORG,daniel@mariedalsbyggtjanst.se,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,10-49 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595739151,165595739151,LP Hallbygg AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-30,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Stenungsund,Västra Götaland,Göteborg,ÅSENVÄGEN 35,444 94,UCKLUM,laimispankevicius@yahoo.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595739771,165595739771,Ekhen Solutions AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Ljusdal,Gävleborg,Hudiksvall/Ljusdal,HOTELLGATAN 58 B,827 32,LJUSDAL,ekhen736@live.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595740290,165595740290,Fönster & Fasadkonsult i Norrland AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-13,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Sundsvall,Västernorrland,Sundsvall,HÖGALIDSGATAN 22,856 31,SUNDSVALL,j_karlstedt@hotmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595740522,165595740522,Svea Byggpartner AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Eskilstuna,Södermanland,Eskilstuna,SKOGSÄNGSGATAN 2 C LGH 1202,633 57,ESKILSTUNA,younan990130@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
