OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
5595736900,165595736900,Eliasson Fischerström AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-30,,Normalläge,Är verksam,Restaurangverksamhet,56110,Malmö,Skåne,Malmö/Lund/Trelleborg,ÅKERSVÄGEN 10,169 59,SOLNA,mikaela_eliasson@hotmail.com,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595738443,165595738443,Nektar AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-13,,Normalläge,Är verksam,Restaurangverksamhet,56110,Malmö,Skåne,Malmö/Lund/Trelleborg,LILLA VARVSGATAN 14,211 15,MALMÖ,manne@nektarmalmo.se,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595738583,165595738583,A&W Bistrogrupp AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-16,,Normalläge,Är verksam,Restaurangverksamhet,56110,Södertälje,Stockholm,Stockholm/Södertälje,FORNHÖJDSVÄGEN 48,152 58,SÖDERTÄLJE,aymen-werfelli@hotmail.se,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595738864,165595738864,SIPP VIN AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Restaurangverksamhet,56110,Östhammar,Uppsala,Uppsala,LÅNGGATAN 47,742 42,ÖREGRUND,info@vinklubbensipp.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595742619,165595742619,The DAC Collective AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-07,,Normalläge,Är verksam,Restaurangverksamhet,56110,Stockholm,Stockholm,Stockholm/Södertälje,FAHNEHIELMSVÄGEN 3 A STOCKHOLM,132 39,SALTSJÖ-BOO,aprilia@biveson.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595742825,165595742825,Brandts Lada AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-23,,Normalläge,Är verksam,Restaurangverksamhet,56110,Vansbro,Dalarna,Borlänge/Falun,ILBÄCKEN 13,786 92,DALA-JÄRNA,johnny@brandtslada.se,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595743260,165595743260,Wermdö Wärdshus AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Restaurangverksamhet,56110,Stockholm,Stockholm,Stockholm/Södertälje,STYRMANSGATAN 25,114 54,STOCKHOLM,hjalmar@sjogras.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595743518,165595743518,FIRAT GRILL AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-09,,Normalläge,Är verksam,Restaurangverksamhet,56110,Sundsvall,Västernorrland,Sundsvall,THULEGATAN 26,852 43,SUNDSVALL,serseri1291@hotmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595744441,165595744441,Hanar AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-16,,Normalläge,Är verksam,Restaurangverksamhet,56110,Kalmar,Kalmar,Kalmar/Nybro,TRÅNGSUNDSVÄGEN 2,392 39,KALMAR,sarkawt_198511@yahoo.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
9698042653,169698042653,Handelsbolaget CBB Haiko,,"Handelsbolag, kommanditbolag",Ej aktiebolag,2026-03-02,2026-04-13,,Normalläge,Är verksam,Restaurangverksamhet,56110,Örebro,Örebro,Örebro,VALLNÄSVÄGEN 3 A,703 58,ÖREBRO,johannahaiko@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
9698042810,169698042810,Pizzeria Napoli Handelsbolag,,"Handelsbolag, kommanditbolag",Ej aktiebolag,2026-03-02,2026-03-30,,Normalläge,Är verksam,Restaurangverksamhet,56110,Skövde,Västra Götaland,Skövde,TIMMERVÄGEN 4 A LGH 1101,549 63,SKÖVDE,sargon_babel@hotmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
