OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
5595733634,165595733634,Quantum Mining Tech Sweden AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-13,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Uppsala,Uppsala,Uppsala,SÅGARGATAN 15 A,753 42,UPPSALA,daniel.olander87@gmail.com,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595735423,165595735423,Wendo Solutions AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-13,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Täby,Stockholm,Stockholm/Södertälje,KJULAVÄGEN 8,183 77,TÄBY,martin@trophyst.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595736322,165595736322,Upshft AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-23,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Lund,Skåne,Malmö/Lund/Trelleborg,SOLDAT PLOGHTAPPENS GATA 15,226 51,LUND,paak76@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595736371,165595736371,Phantium AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-23,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Knivsta,Uppsala,Uppsala,MOGATAN 21,741 47,KNIVSTA,contact@phantium.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595736876,165595736876,Cendor AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-23,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Solna,Stockholm,Stockholm/Södertälje,S:T ANSGARS VÄG 10 A,169 51,SOLNA,kontakt@framtid.ai,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595737338,165595737338,Sorena AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-30,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Solna,Stockholm,Stockholm/Södertälje,RIPSTIGEN 3  LGH 1403,170 74,SOLNA,ali.razmjoo@sorena.io,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595737411,165595737411,Clinera AB,,Övriga aktiebolag,Privat,2026-03-02,2026-04-07,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Stockholm,Stockholm,Stockholm/Södertälje,RIDDARGATAN 16,114 51,STOCKHOLM,ellie@pineconeimpact.com,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595738815,165595738815,Qallio AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-23,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Uppsala,Uppsala,Uppsala,KIVRA: 559573-8815,106 31,STOCKHOLM,vvx3w0v40@kivramail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595739003,165595739003,Albrektsson Innovations AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-02,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Staffanstorp,Skåne,Malmö/Lund/Trelleborg,TEGNÉRS VÄG,245 32,STAFFANSTORP,anders.albrektsson@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595743351,165595743351,Astos AI AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-16,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Stockholm,Stockholm,Stockholm/Södertälje,RIDDARGATAN 16,114 51,STOCKHOLM,ellie@pineconeimpact.com,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595743526,165595743526,Codarn AB,,Övriga aktiebolag,Privat,2026-03-02,2026-03-23,,Normalläge,Är verksam,Utgivning av annan programvara,58290,Ystad,Skåne,Ystad/Simrishamn,JAKOBSBERGSGATAN 17,271 46,YSTAD,fredrik@sjobeck.se,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
