OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
8025556278,168025556278,VÄSTERFJÄLLS SKOTERFÖRENING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Arjeplog,Norrbotten,Piteå,JAKOBSGATAN 10,938 31,ARJEPLOG,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556294,168025556294,ANGERED SPORTS EVENTS IF,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Göteborg,Västra Götaland,Göteborg,MARKURELLGATAN 9  LGH 1102,422 52,HISINGS BACKA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556377,168025556377,UNKNOWN DART CLUB,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Karlstad,Värmland,Karlstad,GRUVLYCKEVÄGEN 40,653 43,KARLSTAD,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556492,168025556492,TERMINALEN SK,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Stockholm,Stockholm,Stockholm/Södertälje,BOX 6248,102 34,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556534,168025556534,FÖRENINGEN STYRKA & FITNESS ÖRNSKÖLDSVIK,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Örnsköldsvik,Västernorrland,Örnsköldsvik,FÖLVÄGEN 23,891 42,ÖRNSKÖLDSVIK,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556591,168025556591,FÖRENINGEN UNITY CHEER ELITE,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Örebro,Örebro,Örebro,RASTORPSVÄGEN 28,719 32,VINTROSA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556625,168025556625,VUONO RYTTARFÖRENING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Haparanda,Norrbotten,Haparanda/Kalix,VUONOVÄGEN 194,953 92,HAPARANDA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556799,168025556799,OVANSILJANS FOTBOLLSFÖRENING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Mora,Dalarna,Mora,ÅKERVÄGEN 6,792 90,SOLLERÖN,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025556872,168025556872,FAIRPLAY FUTSAL FÖRENING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Nacka,Stockholm,Stockholm/Södertälje,OXELVÄGEN 26,138 31,ÄLTA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025557045,168025557045,BABA LIFT ATLETKLUBB,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Göteborg,Västra Götaland,Göteborg,ÖLANDSGATAN 50,116 63,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025557060,168025557060,SORGENFRI IDROTTSGILLE,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Malmö,Skåne,Malmö/Lund/Trelleborg,BODEKULLSGÅNGEN 19 C LGH 1102,214 40,MALMÖ,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025557078,168025557078,POLERINA DANS & SPORT FÖRENING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Kungälv,Västra Götaland,Göteborg,UTMARKSVÄGEN 8,442 39,KUNGÄLV,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025557086,168025557086,MALMÖ TAMBOURELLI,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Malmö,Skåne,Malmö/Lund/Trelleborg,HAGSTORPSGATAN 15  LGH 1201,212 22,MALMÖ,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025557185,168025557185,DALS LÅNGEDS KLÄTTERKLUBB,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Bengtsfors,Västra Götaland,Säffle/Åmål,HEMSLÖJDSVÄGEN 1,666 95,DALS LÅNGED,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
8025557250,168025557250,FALCONS IDROTTSFÖRENING,,Ideella föreningar,Ej aktiebolag,2026-03-02,,,Normalläge,Har aldrig varit verksam,Sportklubbars och idrottsföreningars verksamhet,93120,Sollentuna,Stockholm,Stockholm/Södertälje,PILVÄGEN 36  LGH 1102,191 42,SOLLENTUNA,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
