OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
5595744805,165595744805,EBS Digital Laboratory Solutions AB,,Övriga aktiebolag,Privat,2026-03-09,2026-04-13,,Normalläge,Är verksam,Dataprogrammering,62100,Uppsala,Uppsala,Uppsala,BYSMEDSVÄGEN 28,743 61,BJÖRKLINGE,maxedin97@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595744847,165595744847,Deklaro AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-30,,Normalläge,Är verksam,Dataprogrammering,62100,Stockholm,Stockholm,Stockholm/Södertälje,HÖVDINGAGATAN 3 A,126 52,HÄGERSTEN,45graderdesign@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595745281,165595745281,Vippelina Consulting AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-30,,Normalläge,Är verksam,Dataprogrammering,62100,Stockholm,Stockholm,Stockholm/Södertälje,TEGELBRUKSVÄGEN 31,126 34,HÄGERSTEN,vibeketengroth@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595745539,165595745539,Benjamin Beckman Holding AB,,Övriga aktiebolag,Privat,2026-03-09,2026-04-07,,Normalläge,Är verksam,Dataprogrammering,62100,Nacka,Stockholm,Stockholm/Södertälje,EDINSVÄGEN 12,131 45,NACKA,benjamin@creekman.se,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595746362,165595746362,Årfelt Media AB,,Övriga aktiebolag,Privat,2026-03-09,2026-04-07,,Normalläge,Är verksam,Dataprogrammering,62100,Sjöbo,Skåne,Ystad/Simrishamn,TJÄDERBACKEN 14,275 39,SJÖBO,carfelt@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595746792,165595746792,Sylla Stories AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-09,,Normalläge,Är verksam,Dataprogrammering,62100,Stockholm,Stockholm,Stockholm/Södertälje,BARNÄNGSGATAN 15  LGH 1104,116 49,STOCKHOLM,ckielberg@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595747816,165595747816,Digitala lösningar Syd AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-30,,Normalläge,Är verksam,Dataprogrammering,62100,Växjö,Kronoberg,Växjö,GEORG LUCKLIGS VÄG 14,352 52,VÄXJÖ,musses.email@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595748426,165595748426,Jojtec AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-23,,Normalläge,Är verksam,Dataprogrammering,62100,Hässleholm,Skåne,Hässleholm,VANKIVA 2511,281 95,VANKIVA,jonas.e.erlandsson@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595748798,165595748798,East Coast Web AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-09,,Normalläge,Är verksam,Dataprogrammering,62100,Norrtälje,Stockholm,Norrtälje,GRANSKOGSVÄGEN 18,760 15,GRÄDDÖ,emilywahlin@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595749655,165595749655,H&S Systembydesign AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-23,,Normalläge,Är verksam,Dataprogrammering,62100,Kumla,Örebro,Örebro,ÄNGABACKEN 9,692 36,KUMLA,sofiasjo@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595749663,165595749663,AlgoSoftTech AB,,Övriga aktiebolag,Privat,2026-03-09,2026-04-07,,Normalläge,Är verksam,Dataprogrammering,62100,Solna,Stockholm,Stockholm/Södertälje,UPPFARTSVÄGEN 13,169 38,SOLNA,rasfri.rf@gmail.com,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595749689,165595749689,Corner Stack AB,,Övriga aktiebolag,Privat,2026-03-09,2026-04-07,,Normalläge,Är verksam,Dataprogrammering,62100,Göteborg,Västra Götaland,Göteborg,VÄDERKVARNSGATAN 7 B,417 08,GÖTEBORG,ahlinder.a@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595750091,165595750091,Voria AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-30,,Normalläge,Är verksam,Dataprogrammering,62100,Uppsala,Uppsala,Uppsala,GLÄNTVÄGEN 30,757 56,UPPSALA,nilsperssonsuorra@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595750182,165595750182,Cloudanica AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-09,,Normalläge,Är verksam,Dataprogrammering,62100,Malmö,Skåne,Malmö/Lund/Trelleborg,ROSENGRENSGATA 29,216 44,LIMHAMN,justmrvka@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595751768,165595751768,Different Robot AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-30,,Normalläge,Är verksam,Dataprogrammering,62100,Stockholm,Stockholm,Stockholm/Södertälje,PARKALLÉN 13,183 41,TÄBY,alexander.percivall@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595751966,165595751966,NimBjörling AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-16,,Normalläge,Är verksam,Dataprogrammering,62100,Uppsala,Uppsala,Uppsala,VARGDANSEN 221,743 92,VATTHOLMA,rasmusnim89@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Är registrerad som vanlig arbetsgivare,1-9 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
5595752543,165595752543,QOF Consulting AB,,Övriga aktiebolag,Privat,2026-03-09,2026-03-16,,Normalläge,Är verksam,Dataprogrammering,62100,Stockholm,Stockholm,Stockholm/Södertälje,LJUSSLINGAN 9 B,120 64,STOCKHOLM,magnus.koff@gmail.com,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
