OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
0001035369,200001035369,"Brehmer, Hanna",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reklambyråverksamhet,73111,Linköping,Östergötland,Linköping,NELLY SACHS GATA 2  LGH 1103,583 27,LINKÖPING,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0001312511,200001312511,"Coralic Sabel, Dennis",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Byggande av bostadshus och andra byggnader,41000,Norberg,Västmanland,Fagersta,RINGVÄGEN 3 B LGH 1101,738 32,NORBERG,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0002054005,200002054005,"Rezaei, Azana",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Annan övrig hälso- och sjukvård,86999,Gävle,Gävleborg,Gävle/Sandviken,FÖRSTA TVÄRGATAN 9  LGH 1304,802 87,GÄVLE,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0002135796,200002135796,"Skansberg, Magnus",,Fysiska personer,Ej aktiebolag,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Nyköping,Södermanland,Nyköping,ERIKSLUNDSVÄGEN 11  LGH 1402,611 61,NYKÖPING,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Är registrerad som privatarbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0003111689,200003111689,"Tran, Trà My",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Annan naturvetenskaplig och teknisk forskning och utveckling,72109,Lund,Skåne,Malmö/Lund/Trelleborg,BARAVÄGEN 7  LGH 1003,222 40,LUND,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0003127073,200003127073,"Edvinsson, Fredrik",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Okänd,00000,Halmstad,Halland,Halmstad,NORRA VÄGEN 11 A LGH 1202,302 32,HALMSTAD,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0003287414,200003287414,"Skärlén, Martin",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Skötsel och underhåll av grönytor,81300,Håbo,Uppsala,Enköping,HERRGÅRDSGATAN 11  LGH 1101,746 49,BÅLSTA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0004151601,200004151601,"Thuo, Pauline Wanjiru",,Fysiska personer,Ej aktiebolag,2026-04-07,,,Normalläge,Har aldrig varit verksam,Okänd,00000,Haninge,Stockholm,Stockholm/Södertälje,HANINGEVÄGEN 24 F,136 36,HANDEN,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Är registrerad som privatarbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0005247978,200005247978,"Wirenfalk Ehn, Oskar",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Konsultverksamhet avseende företags organisation,70200,Huddinge,Stockholm,Stockholm/Södertälje,SLÅTTERVÄGEN 8 A,141 70,SEGELTORP,,,Är registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0005291190,200005291190,"Danielsson, Sam",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Förmedling avseende icke-specialiserad detaljhandel,47910,Svedala,Skåne,Malmö/Lund/Trelleborg,BÖRRINGEVÄGEN 101,233 33,SVEDALA,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0006262091,200006262091,"Martinsson, Gustav",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Reparation och underhåll av maskiner,33120,Orust,Västra Götaland,Uddevalla,KASTET 623,472 91,STILLINGSÖN,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
0007025638,200007025638,"Amine, Adam",,Fysiska personer,Ej aktiebolag,2026-04-07,2026-04-07,,Normalläge,Är verksam,Redovisning och bokföring; skatterådgivning,69201,Malmö,Skåne,Malmö/Lund/Trelleborg,JÄGERSROVÄGEN 5 B LGH 1203,213 62,MALMÖ,,,Är registrerad för F-skatt,Är registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
