OrgNr,PeOrgNr,Företagsnamn,Firma,Juridisk form,Privat/Publikt,Registreringsdatum,Startdatum,Slutdatum,Bolagsstatus,Företagsstatus,Bransch_1,"Bransch_1, kod",Säteskommun,Säteslän,ARegion,PostAdress,PostNr,PostOrt,E-post,Telefon,Fskattstatus,Momsstatus,Arbetsgivarstatus,Storleksklass SME,Utskick,Reklam
7696437172,167696437172,Bostadsrättsföreningen Terminalen 1 i Tullinge,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Botkyrka,Stockholm,Stockholm/Södertälje,IGELBACKEN 24,170 62,SOLNA,David@shineproperties.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437206,167696437206,Bostadsrättsföreningen Ceta,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Stockholm,Stockholm,Stockholm/Södertälje,KARLAVÄGEN 23,114 31,STOCKHOLM,lotta@gilloga.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437230,167696437230,Gamla Bryggargården Bostadsrättsföreningen,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Simrishamn,Skåne,Ystad/Simrishamn,STORGATAN 41,272 33,SIMRISHAMN,bradley@globalmedia.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437263,167696437263,Bostadsrättsföreningen Ekbacken 3,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Nacka,Stockholm,Stockholm/Södertälje,RIDDARGATAN 12 B,114 35,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437289,167696437289,Bostadsrättsföreningen Fräkenro,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Sollentuna,Stockholm,Stockholm/Södertälje,RIDDARGATAN 12 B,114 35,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437297,167696437297,Bostadsrättsföreningen Väpnarhöjden,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Österåker,Stockholm,Stockholm/Södertälje,RIDDARGATAN 12 B,114 35,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437305,167696437305,Bostadsrättsföreningen Sieverts Brygga,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Nacka,Stockholm,Stockholm/Södertälje,RIDDARGATAN 12 B,114 35,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437321,167696437321,Bostadsrättsföreningen Perseus 2,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Stockholm,Stockholm,Stockholm/Södertälje,BIRGER JARLSGATAN 34,114 29,STOCKHOLM,lars@brfkompetens.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437339,167696437339,Bostadsrättsföreningen Hasselbacken 2,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Nacka,Stockholm,Stockholm/Södertälje,RIDDARGATAN 12 B,114 35,STOCKHOLM,,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
7696437347,167696437347,Bostadsrättsföreningen Storgården 2 i Vaxholm,,Bostadsrättsföreningar,Ej aktiebolag,2026-04-13,,,Normalläge,Har aldrig varit verksam,Förvaltning i bostadsrättsföreningar,68204,Vaxholm,Stockholm,Stockholm/Södertälje,BOX 45100,104 30,STOCKHOLM,brfstyrelse@besqab.se,,Har aldrig varit registrerad för F-skatt,Har aldrig varit registrerad för moms,Har aldrig varit registrerad som arbetsgivare,0 anställda,Postadress är OK,"Tar emot reklam, ej telefonnummerspärrat"
